Date,Rate,Compounded Value
7/2/1957,3.03,104.0039349
8/2/1957,3,104.0126019
11/2/1957,3,104.0212696
12/2/1957,3,104.029938
13/2/1957,2.98,104.0385494
14/2/1957,3,104.0472193
15/2/1957,3.04,104.0560055
18/2/1957,3.1,104.0649658
19/2/1957,3.1,104.073927
20/2/1957,3.19,104.0831491
21/2/1957,3.2,104.0924009
25/2/1957,3.22,104.1017114
26/2/1957,3.24,104.1110806
27/2/1957,3.29,104.1205952
28/2/1957,3.28,104.1300817
1/3/1957,3.24,104.1394534
4/3/1957,3.18,104.1486524
5/3/1957,3.15,104.1577654
6/3/1957,3.19,104.166995
7/3/1957,3.19,104.1762253
8/3/1957,3.2,104.1854854
11/3/1957,3.19,104.1947174
12/3/1957,3.16,104.2038634
13/3/1957,3.17,104.2130391
14/3/1957,3.14,104.2221288
15/3/1957,3.1,104.2311035
18/3/1957,3.02,104.2398473
19/3/1957,3.02,104.2485919
20/3/1957,3,104.2572793
21/3/1957,2.97,104.2658805
22/3/1957,2.97,104.2744824
25/3/1957,2.98,104.283114
26/3/1957,2.94,104.2916305
27/3/1957,2.99,104.3002925
28/3/1957,2.96,104.3088683
29/3/1957,2.96,104.3174448
1/4/1957,2.96,104.326022
2/4/1957,2.97,104.3346289
3/4/1957,3.06,104.3434974
4/4/1957,3.08,104.3524245
5/4/1957,3.08,104.3613525
8/4/1957,3.1,104.3703391
9/4/1957,3.09,104.3792976
10/4/1957,3.14,104.3884018
11/4/1957,3.16,104.3975648
12/4/1957,3.16,104.4067285
15/4/1957,3.14,104.4158351
16/4/1957,3.11,104.4248555
17/4/1957,3.12,104.4339056
