Date,Volume
1951-10-26,1710000.0
1951-10-29,1780000.0
1951-10-30,1530000.0
1951-10-31,1490000.0
1951-11-01,1430000.0
1951-11-02,1230000.0
1951-11-05,1130000.0
1951-11-07,1490000.0
1951-11-08,1410000.0
1951-11-09,1470000.0
1951-11-13,1160000.0
1951-11-14,1220000.0
1951-11-15,1200000.0
1951-11-16,1140000.0
1951-11-19,1030000.0
1951-11-20,1130000.0
1951-11-21,1090000.0
1951-11-23,1210000.0
1951-11-26,1180000.0
1951-11-27,1310000.0
1951-11-28,1150000.0
1951-11-29,1070000.0
1951-11-30,1530000.0
1951-12-03,1220000.0
1951-12-04,1280000.0
1951-12-05,1330000.0
1951-12-06,1840000.0
1951-12-07,1990000.0
1951-12-10,1340000.0
1951-12-11,1360000.0
1951-12-12,1280000.0
1951-12-13,1380000.0
1951-12-14,1360000.0
1951-12-17,1220000.0
1951-12-18,1290000.0
1951-12-19,1510000.0
1951-12-20,1340000.0
1951-12-21,1250000.0
1951-12-24,680000.0
1951-12-26,1520000.0
1951-12-27,1460000.0
1951-12-28,1470000.0
1951-12-31,1440000.0
1952-01-02,1070000.0
1952-01-03,1220000.0
1952-01-04,1480000.0
1952-01-07,1540000.0
1952-01-08,1390000.0
1952-01-09,1370000.0
1952-01-10,1520000.0
1952-01-11,1760000.0
1952-01-14,1510000.0
1952-01-15,1340000.0
1952-01-16,1430000.0
1952-01-17,1590000.0
1952-01-18,1740000.0
1952-01-21,1730000.0
1952-01-22,1920000.0
1952-01-23,1680000.0
1952-01-24,1570000.0
1952-01-25,1650000.0
1952-01-28,1590000.0
1952-01-29,1730000.0
1952-01-30,1880000.0
1952-01-31,1810000.0
1952-02-01,1350000.0
1952-02-04,1640000.0
1952-02-05,1590000.0
1952-02-06,1310000.0
1952-02-07,1170000.0
1952-02-08,1350000.0
1952-02-11,1140000.0
1952-02-13,1300000.0
1952-02-14,1340000.0
1952-02-15,1200000.0
1952-02-18,1140000.0
1952-02-19,1630000.0
1952-02-20,1970000.0
1952-02-21,1360000.0
1952-02-25,1200000.0
1952-02-26,1080000.0
1952-02-27,1260000.0
1952-02-28,1150000.0
1952-02-29,1000000.0
1952-03-03,1020000.0
1952-03-04,1570000.0
1952-03-05,1380000.0
1952-03-06,1210000.0
1952-03-07,1410000.0
1952-03-10,1170000.0
1952-03-11,1210000.0
1952-03-12,1310000.0
1952-03-13,1270000.0
1952-03-14,1350000.0
1952-03-17,1150000.0
1952-03-18,1170000.0
1952-03-19,1090000.0
1952-03-20,1240000.0
1952-03-21,1290000.0
1952-03-24,1040000.0
1952-03-25,1060000.0
1952-03-26,1030000.0
1952-03-27,1370000.0
1952-03-28,1560000.0
1952-03-31,1680000.0
1952-04-01,1720000.0
1952-04-02,1260000.0
1952-04-03,1280000.0
1952-04-04,1190000.0
1952-04-07,1230000.0
1952-04-08,1090000.0
1952-04-09,980000.0
1952-04-10,1130000.0
1952-04-14,1790000.0
1952-04-15,1720000.0
1952-04-16,1400000.0
1952-04-17,1620000.0
1952-04-18,1240000.0
1952-04-21,1110000.0
1952-04-22,1240000.0
1952-04-23,1090000.0
1952-04-24,1580000.0
1952-04-25,1240000.0
1952-04-28,980000.0
1952-04-29,1170000.0
1952-04-30,1000000.0
1952-05-01,1400000.0
1952-05-02,1300000.0
1952-05-05,860000.0
1952-05-06,1120000.0
1952-05-07,1120000.0
1952-05-08,1230000.0
1952-05-09,960000.0
1952-05-12,800000.0
1952-05-13,890000.0
1952-05-14,950000.0
1952-05-15,1050000.0
1952-05-16,910000.0
1952-05-19,780000.0
1952-05-20,1150000.0
1952-05-21,1210000.0
1952-05-22,1360000.0
1952-05-23,1150000.0
1952-05-26,940000.0
1952-05-27,1040000.0
1952-05-28,1130000.0
1952-05-29,1100000.0
1952-06-02,1190000.0
1952-06-03,940000.0
1952-06-04,1200000.0
1952-06-05,1410000.0
1952-06-06,1520000.0
1952-06-09,1270000.0
1952-06-10,1220000.0
1952-06-11,1190000.0
1952-06-12,1370000.0
1952-06-13,1130000.0
1952-06-16,980000.0
1952-06-17,920000.0
1952-06-18,1270000.0
1952-06-19,1320000.0
1952-06-20,1190000.0
1952-06-23,1200000.0
1952-06-24,1200000.0
1952-06-25,1230000.0
1952-06-26,1190000.0
1952-06-27,1210000.0
1952-06-30,1380000.0
1952-07-01,1450000.0
1952-07-02,1320000.0
1952-07-03,1150000.0
1952-07-07,1080000.0
1952-07-08,850000.0
1952-07-09,1120000.0
1952-07-10,1010000.0
1952-07-11,1040000.0
1952-07-14,1090000.0
1952-07-15,1220000.0
1952-07-16,1120000.0
1952-07-17,1010000.0
1952-07-18,1020000.0
1952-07-21,780000.0
1952-07-22,910000.0
1952-07-23,1020000.0
1952-07-24,1270000.0
1952-07-25,1130000.0
1952-07-28,1030000.0
1952-07-29,1010000.0
1952-07-30,1240000.0
1952-07-31,1230000.0
1952-08-01,1050000.0
1952-08-04,950000.0
1952-08-05,1050000.0
1952-08-06,1140000.0
1952-08-07,1180000.0
1952-08-08,1170000.0
1952-08-11,1160000.0
1952-08-12,1110000.0
1952-08-13,990000.0
1952-08-14,930000.0
1952-08-15,890000.0
1952-08-18,1090000.0
1952-08-19,980000.0
1952-08-20,960000.0
1952-08-21,800000.0
1952-08-22,910000.0
1952-08-25,840000.0
1952-08-26,890000.0
1952-08-27,930000.0
1952-08-28,980000.0
1952-08-29,890000.0
1952-09-02,970000.0
1952-09-03,1200000.0
1952-09-04,1120000.0
1952-09-05,1040000.0
1952-09-08,1170000.0
1952-09-09,1310000.0
1952-09-10,1590000.0
1952-09-11,970000.0
1952-09-12,1040000.0
1952-09-15,1100000.0
1952-09-16,1140000.0
1952-09-17,1000000.0
1952-09-18,1030000.0
1952-09-19,1150000.0
1952-09-22,1160000.0
1952-09-23,1240000.0
1952-09-24,1390000.0
1952-09-25,1210000.0
1952-09-26,1180000.0
1952-09-29,970000.0
1952-09-30,1120000.0
1952-10-01,1060000.0
1952-10-02,1040000.0
1952-10-03,980000.0
1952-10-06,1070000.0
1952-10-07,950000.0
1952-10-08,1260000.0
1952-10-09,1090000.0
1952-10-10,1070000.0
1952-10-14,1130000.0
1952-10-15,1730000.0
1952-10-16,1730000.0
1952-10-17,1360000.0
1952-10-20,1050000.0
1952-10-21,990000.0
1952-10-22,1160000.0
1952-10-23,1260000.0
1952-10-24,1060000.0
1952-10-27,1000000.0
1952-10-28,1080000.0
1952-10-29,1020000.0
1952-10-30,1090000.0
1952-10-31,1760000.0
1952-11-03,1670000.0
1952-11-05,2030000.0
1952-11-06,1390000.0
1952-11-07,1540000.0
1952-11-10,1360000.0
1952-11-12,1490000.0
1952-11-13,1330000.0
1952-11-14,1700000.0
1952-11-17,1490000.0
1952-11-18,2250000.0
1952-11-19,2350000.0
1952-11-20,1740000.0
1952-11-21,1760000.0
1952-11-24,2100000.0
1952-11-25,1930000.0
1952-11-26,1920000.0
1952-11-28,2160000.0
1952-12-01,2100000.0
1952-12-02,1610000.0
1952-12-03,1610000.0
1952-12-04,1570000.0
1952-12-05,1510000.0
1952-12-08,1790000.0
1952-12-09,2120000.0
1952-12-10,1880000.0
1952-12-11,1790000.0
1952-12-12,2030000.0
1952-12-15,1940000.0
1952-12-16,1980000.0
1952-12-17,1700000.0
1952-12-18,1860000.0
1952-12-19,2050000.0
1952-12-22,2100000.0
1952-12-23,2100000.0
1952-12-24,1510000.0
1952-12-26,1290000.0
1952-12-29,1820000.0
1952-12-30,2070000.0
1952-12-31,2050000.0
1953-01-02,1450000.0
1953-01-05,2130000.0
1953-01-06,2080000.0
1953-01-07,1760000.0
1953-01-08,1780000.0
1953-01-09,2080000.0
1953-01-12,1500000.0
1953-01-13,1680000.0
1953-01-14,1370000.0
1953-01-15,1450000.0
1953-01-16,1710000.0
1953-01-19,1360000.0
1953-01-20,1490000.0
1953-01-21,1300000.0
1953-01-22,1380000.0
1953-01-23,1340000.0
1953-01-26,1420000.0
1953-01-27,1550000.0
1953-01-28,1640000.0
1953-01-29,1830000.0
1953-01-30,1760000.0
1953-02-02,1890000.0
1953-02-03,1560000.0
